Intrinsic parameters (fx,fy,cx,cy) [pixel/mm]: 270.851166,270.782074,160.644485,119.420685
Rotation parameters (th_z,th_x,th_z2) [rad/s]: 4.227355,-2.293805,-0.242118
Translation parameters (Tcw_x,Tcw_y,Tcw_z) [mm]: -2300.000000,1540.000000,3100.000000
*C2:1,0,0|202.57|121.00|32577710,32578416#
*C2:1,0,0|202.57|121.00|32589150,32589871#
*C2:1,0,0|202.57|121.00|32605135,32605838#
*C2:1,0,0|202.57|121.00|32621258,32621969#
*C2:1,0,0|202.57|121.00|32637261,32637971#
*C2:1,0,0|202.57|121.00|32653274,32653978#
*C2:1,0,0|202.57|121.00|32669257,32669971#
*C2:1,0,0|202.57|121.00|32685262,32685965#
*C2:1,0,0|202.57|121.00|32701258,32701762#
*C2:1,0,0|202.57|121.00|32717263,32717972#
*C2:1,1,0|202.57|121.00|187.04|150.06|32733278,32733982#
*C2:1,0,0|202.57|121.00|32749900,32750614#
*C2:1,0,0|202.57|121.00|32765272,32765975#
*C2:1,0,0|202.57|121.00|32781390,32782098#
*C2:1,0,0|202.57|121.00|32797381,32797898#
*C2:1,1,0|202.57|121.00|187.04|150.06|32813411,32814127#
*C2:1,0,0|202.57|121.00|32830026,32830733#
*C2:1,0,0|202.57|121.00|32845385,32846089#
*C2:1,0,0|202.57|121.00|32861392,32862099#
*C2:1,0,0|202.57|121.00|32877386,32878097#
*C2:1,0,0|202.57|121.00|32893386,32894092#
*C2:1,0,0|202.57|121.00|32909458,32910181#
*C2:1,1,0|202.57|121.00|187.04|150.06|32925419,32926124#
*C2:1,0,0|202.57|121.00|32942161,32942873#
*C2:1,0,0|202.57|121.00|32957514,32958229#
*C2:1,0,0|202.57|121.00|32973515,32974229#
*C2:1,0,0|202.57|121.00|32989508,32990217#
*C2:1,0,0|202.57|121.00|33005515,33006027#
*C2:1,0,0|202.57|121.00|33021507,33022220#
*C2:1,1,0|202.57|121.00|187.04|150.06|33037531,33038245#
*C2:1,1,0|202.57|121.00|187.04|150.06|33054173,33054874#
*C2:1,0,0|202.57|121.00|33070149,33070860#
*C2:1,0,0|202.57|121.00|33085637,33086346#
*C2:1,1,0|202.57|121.00|187.04|150.06|33101659,33102170#
*C2:1,0,0|202.57|121.00|33118285,33118995#
*C2:1,0,0|202.57|121.00|33133634,33134346#
*C2:1,0,0|202.57|121.00|33149633,33150340#
*C2:1,0,0|202.57|121.00|33165635,33166344#
*C2:1,0,0|202.57|121.00|33181627,33182337#
*C2:1,0,0|202.57|121.00|33197638,33198354#
*C2:1,0,0|202.57|121.00|33213631,33214336#
*C2:1,1,0|202.57|121.00|187.04|150.06|33229649,33230363#
*C2:1,0,0|202.57|121.00|33246408,33247115#
*C2:1,0,0|202.57|121.00|33261763,33262475#
*C2:1,0,0|202.57|121.00|33277764,33278476#
*C2:1,0,0|202.57|121.00|33293775,33294487#
*C2:1,0,0|202.57|121.00|33309803,33310334#
*C2:1,0,0|202.57|121.00|33325766,33326480#
*C2:1,0,0|202.57|121.00|33341764,33342479#
*C2:1,1,0|202.57|121.00|187.04|150.06|33357786,33358503#
*C2:1,0,0|202.57|121.00|33374415,33375133#
*C2:1,0,0|202.57|121.00|33389762,33390475#
*C2:1,0,0|202.57|121.00|33405889,33406518#
*C2:1,0,0|202.57|121.00|33421881,33422593#
*C2:1,1,0|202.57|121.00|187.04|150.06|33437910,33438628#
*C2:1,1,0|202.57|121.00|187.04|150.06|33454555,33455267#
*C2:1,1,0|202.57|121.00|187.04|150.06|33470547,33471267#
*C2:1,0,0|202.57|121.00|33486530,33487247#
*C2:1,1,0|202.57|121.00|187.04|150.06|33501920,33502632#
*C2:1,0,0|202.57|121.00|33518532,33519228#
